player_name,team,bio_stat,positions,traits,liga_25_stats,season_performance
Antonio Silva,Benfica,"187 cmHeight4Shirt20 yearsOct 30, 2003RightPreferred footPortugalCountry€55MMarket value",PositionPrimaryCenter-backCB,Touches75%Shot attempts32%Goals58%Chances created24%Aerial duels won25%Defensive actions28%,0Goals0Assists2Started2Matches180Minutes played7.63Rating0Yellow cards0Red cards,Season performanceMinutes played: 180TotalPer 90ShootingRankGoals0Expected goals (xG)0.04Non-penalty xG0.04Shots1PassingAssists0Expected assists (xA)0.05Successful passes122Pass accuracy90.4%Accurate long balls7Long ball accuracy58.3%Chances created1PossessionSuccessful dribbles1Dribble success50.0%Touches161Touches in opposition box2Dispossessed0Fouls won3DefendingTackles won2Tackles won %50.0%Duels won15Duels won %83.3%Aerial duels won7Aerial duels won %87.5%Interceptions4Fouls committed1Recoveries11DisciplineYellow cards0Red cards0
Luiz Junior,Villarreal,"194 cmHeight1Shirt23 yearsJan 14, 2001LeftPreferred footBrazilCountry€10.9MMarket value",PositionPrimaryKeeperGK,Long ball accuracy71%Clean sheet35%High claim91%Sweeper92%Goals conceded58%Save percentage70%,1Clean sheets0/0Saved penalties7.87Rating1Matches90Minutes played1Yellow cards0Red cards,Season performanceTotalPer 90GoalkeepingRankSaves2Save percentage100.0%Goals conceded0Goals prevented0.35Clean sheets1Error led to goal0Acted as sweeper1High claim3DistributionPass accuracy58.1%Accurate long balls12Long ball accuracy48.0%DisciplineYellow cards1Red cards0
Andre Horta,Braga,"175 cmHeight10Shirt27 yearsNov 7, 1996RightPreferred footPortugalCountry€5.4MMarket value","PositionPrimaryDefensive MidfielderOthersCentral Midfielder, Attacking MidfielderDMCMAM",Touches98%Shot attempts95%Goals85%Chances created92%Aerial duels won1%Defensive actions21%,0Goals1Assists2Started2Matches138Minutes played7.62Rating0Yellow cards0Red cards,Season performanceMinutes played: 138TotalPer 90ShootingRankGoals0Expected goals (xG)0.11xG on target (xGOT)0.10Non-penalty xG0.11Shots3Shots on target1PassingAssists1Expected assists (xA)0.50Successful passes94Pass accuracy85.5%Accurate long balls6Long ball accuracy60.0%Chances created2PossessionSuccessful dribbles1Dribble success100.0%Touches135Touches in opposition box1Dispossessed1Fouls won2DefendingTackles won4Tackles won %66.7%Duels won10Duels won %66.7%Aerial duels won1Aerial duels won %100.0%Fouls committed3Recoveries7Dribbled past1DisciplineYellow cards0Red cards0
Geovany Quenda,Sporting CP,"172 cmHeight57Shirt17 yearsApr 30, 2007LeftPreferred footPortugalCountry",PositionPrimaryRight MidfielderRM,,0Goals0Assists4Started4Matches323Minutes played7.64Rating0Yellow cards0Red cards,Season performanceMinutes played: 323TotalPer 90ShootingRankGoals0Expected goals (xG)0.38xG on target (xGOT)0.09Non-penalty xG0.38Shots5Shots on target1PassingAssists0Expected assists (xA)0.36Successful passes100Pass accuracy84.7%Accurate long balls4Long ball accuracy28.6%Chances created6Successful crosses1Cross accuracy9.1%PossessionSuccessful dribbles8Dribble success72.7%Touches206Touches in opposition box14Dispossessed0Fouls won4Penalties awarded1DefendingTackles won3Tackles won %60.0%Duels won19Duels won %79.2%Aerial duels won2Aerial duels won %50.0%Interceptions2Blocked1Fouls committed1Recoveries14Possession won final 3rd2DisciplineYellow cards0Red cards0
Enea Mihaj,Famalicao,"186 cmHeight4Shirt26 yearsJul 5, 1998RightPreferred footAlbaniaCountry€1.8MMarket value",PositionPrimaryCenter-backCB,Touches57%Shot attempts4%Goals0%Chances created36%Aerial duels won13%Defensive actions54%,0Goals1Assists4Started4Matches360Minutes played7.72Rating1Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Expected goals (xG)0.06xG on target (xGOT)0.34Non-penalty xG0.06Shots1Shots on target1PassingAssists1Expected assists (xA)0.04Successful passes170Pass accuracy78.0%Accurate long balls23Long ball accuracy41.8%Chances created1PossessionSuccessful dribbles3Dribble success75.0%Touches278Touches in opposition box1Dispossessed0Fouls won6DefendingTackles won4Tackles won %50.0%Duels won23Duels won %71.9%Aerial duels won6Aerial duels won %60.0%Interceptions12Fouls committed3Recoveries23Dribbled past1DisciplineYellow cards1Red cards0
Adrián Marin,Braga,"177 cmHeight19Shirt27 yearsJan 9, 1997LeftPreferred footSpainCountry€2MMarket value",PositionPrimaryLeft-backLB,Touches96%Shot attempts5%Goals80%Chances created70%Aerial duels won92%Defensive actions42%,0Goals1Assists4Started4Matches352Minutes played7.60Rating0Yellow cards0Red cards,Season performanceMinutes played: 352TotalPer 90ShootingRankGoals0Shots0PassingAssists1Expected assists (xA)0.36Successful passes232Pass accuracy82.0%Accurate long balls10Long ball accuracy38.5%Chances created4Successful crosses2Cross accuracy20.0%PossessionSuccessful dribbles2Dribble success66.7%Touches384Touches in opposition box2Dispossessed2Fouls won1DefendingTackles won2Tackles won %33.3%Duels won20Duels won %57.1%Aerial duels won11Aerial duels won %84.6%Interceptions10Fouls committed5Recoveries22Possession won final 3rd1Dribbled past5DisciplineYellow cards0Red cards0
Luis Asué,Moreirense,"184 cmHeight9Shirt23 yearsJul 9, 2001LeftPreferred footEquatorial GuineaCountry€450KMarket value",PositionPrimaryStrikerOthersRight WingerRWST,Touches43%Shot attempts35%Goals12%Chances created7%Aerial duels won63%Defensive actions92%,3Goals0Assists4Started4Matches350Minutes played7.44Rating0Yellow cards0Red cards,Season performanceMinutes played: 350TotalPer 90ShootingRankGoals3Expected goals (xG)2.96xG on target (xGOT)3.70Non-penalty xG2.96Shots13Shots on target8PassingAssists0Expected assists (xA)0.10Successful passes30Pass accuracy66.7%Chances created1PossessionSuccessful dribbles8Dribble success66.7%Touches123Touches in opposition box15Dispossessed8Fouls won4DefendingPenalties conceded1Tackles won3Tackles won %75.0%Duels won27Duels won %48.2%Aerial duels won12Aerial duels won %48.0%Blocked2Fouls committed4Recoveries9Possession won final 3rd2DisciplineYellow cards0Red cards0
Tomas Araujo,Benfica,"187 cmHeight44Shirt22 yearsMay 16, 2002RightPreferred footPortugalCountry€7.5MMarket value",PositionPrimaryCenter-backCB,Touches93%Shot attempts70%Goals84%Chances created96%Aerial duels won67%Defensive actions59%,0Goals0Assists3Started3Matches265Minutes played7.75Rating0Yellow cards0Red cards,Season performanceMinutes played: 265TotalPer 90ShootingRankGoals0Expected goals (xG)0.29xG on target (xGOT)0.44Non-penalty xG0.29Shots2Shots on target2PassingAssists0Expected assists (xA)0.08Successful passes182Pass accuracy89.7%Accurate long balls7Long ball accuracy43.8%PossessionSuccessful dribbles1Dribble success50.0%Touches238Touches in opposition box2Dispossessed0DefendingTackles won8Tackles won %72.7%Duels won23Duels won %76.7%Aerial duels won11Aerial duels won %73.3%Interceptions3Recoveries20Dribbled past2DisciplineYellow cards0Red cards0
Pedro Ferreira,Santa Clara,"183 cmHeight8Shirt26 yearsJan 5, 1998RightPreferred footPortugalCountry€650KMarket value",PositionPrimaryCentral MidfielderCM,Touches53%Shot attempts3%Goals77%Chances created10%Aerial duels won16%Defensive actions100%,0Goals1Assists4Started4Matches360Minutes played7.85Rating1Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Expected goals (xG)0.05xG on target (xGOT)0.02Non-penalty xG0.05Shots1Shots on target1PassingAssists1Expected assists (xA)0.06Successful passes95Pass accuracy74.8%Accurate long balls14Long ball accuracy53.8%Chances created2PossessionSuccessful dribbles2Dribble success66.7%Touches197Touches in opposition box3Dispossessed1Fouls won2DefendingTackles won16Tackles won %61.5%Duels won33Duels won %63.5%Aerial duels won3Aerial duels won %33.3%Interceptions10Fouls committed7Recoveries23Possession won final 3rd2Dribbled past4DisciplineYellow cards1Red cards0
Morten Hjulmand,Sporting CP,"185 cmHeight42Shirt25 yearsJun 25, 1999RightPreferred footDenmarkCountry€45MMarket value",PositionPrimaryCentral MidfielderCM,Touches91%Shot attempts41%Goals62%Chances created47%Aerial duels won34%Defensive actions71%,0Goals0Assists2Started2Matches162Minutes played7.59Rating0Yellow cards0Red cards,Season performanceMinutes played: 162TotalPer 90ShootingRankGoals0Expected goals (xG)0.07Non-penalty xG0.07Shots1PassingAssists0Expected assists (xA)0.04Successful passes75Pass accuracy89.3%Accurate long balls1Long ball accuracy25.0%Chances created3PossessionSuccessful dribbles1Dribble success100.0%Touches105Touches in opposition box1Dispossessed2Fouls won2DefendingTackles won4Tackles won %80.0%Duels won10Duels won %66.7%Aerial duels won2Aerial duels won %66.7%Interceptions2Blocked1Fouls committed2Recoveries12DisciplineYellow cards0Red cards0
Alexander Bah,Benfica,"183 cmHeight6Shirt26 yearsDec 9, 1997RightPreferred footDenmarkCountry€18MMarket value",PositionPrimaryRight-backOthersRight Wing-BackRBRWB,Touches96%Shot attempts46%Goals68%Chances created45%Aerial duels won82%Defensive actions80%,0Goals0Assists4Started4Matches357Minutes played7.43Rating0Yellow cards0Red cards,Season performanceMinutes played: 357TotalPer 90ShootingRankGoals0Expected goals (xG)0.20Non-penalty xG0.20Shots3PassingAssists0Expected assists (xA)0.27Successful passes180Pass accuracy82.6%Accurate long balls5Long ball accuracy27.8%Chances created3Successful crosses2Cross accuracy13.3%PossessionSuccessful dribbles6Dribble success42.9%Touches370Touches in opposition box17Dispossessed5Fouls won11DefendingTackles won12Tackles won %75.0%Duels won36Duels won %58.1%Aerial duels won4Aerial duels won %44.4%Interceptions4Blocked1Fouls committed4Recoveries23Possession won final 3rd4Dribbled past4DisciplineYellow cards0Red cards0
Matheus Nunes,Santa Clara,"185 cmHeight32Shirt23 yearsMar 1, 2001LeftPreferred footBrazilCountry€500KMarket value",PositionPrimaryLeft MidfielderLM,,0Goals1Assists4Started4Matches360Minutes played7.75Rating0Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Expected goals (xG)0.01Non-penalty xG0.01Shots1PassingAssists1Expected assists (xA)0.35Successful passes126Pass accuracy73.7%Accurate long balls9Long ball accuracy28.1%Chances created6Successful crosses1Cross accuracy10.0%PossessionSuccessful dribbles6Dribble success100.0%Touches269Touches in opposition box3Dispossessed1Fouls won1DefendingTackles won6Tackles won %50.0%Duels won23Duels won %71.9%Aerial duels won4Aerial duels won %50.0%Interceptions7Fouls committed2Recoveries19Possession won final 3rd1Dribbled past2DisciplineYellow cards0Red cards0
Joel Robles,Estoril,"195 cmHeight27Shirt34 yearsJun 17, 1990RightPreferred footSpainCountry€700KMarket value",PositionPrimaryKeeperGK,,2Clean sheets1Goals conceded0/0Saved penalties7.73Rating3Matches270Minutes played1Yellow cards0Red cards,Season performanceTotalPer 90GoalkeepingRankSaves16Save percentage94.1%Goals conceded1Goals prevented4.12Clean sheets2Error led to goal0Acted as sweeper1High claim1DistributionPass accuracy64.9%Accurate long balls14Long ball accuracy35.0%DisciplineYellow cards1Red cards0
Ze Pedro,FC Porto,"187 cmHeight97Shirt27 yearsJun 6, 1997RightPreferred footPortugalCountry€2.8MMarket value",PositionPrimaryCenter-backCB,Touches93%Shot attempts64%Goals92%Chances created51%Aerial duels won67%Defensive actions11%,0Goals0Assists4Started4Matches360Minutes played7.54Rating1Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Shots0PassingAssists0Expected assists (xA)0.42Successful passes277Pass accuracy85.2%Accurate long balls9Long ball accuracy31.0%Chances created2Successful crosses1Cross accuracy50.0%PossessionTouches360Touches in opposition box2Dispossessed0Fouls won2DefendingTackles won3Tackles won %60.0%Duels won19Duels won %67.9%Aerial duels won12Aerial duels won %75.0%Interceptions7Fouls committed3Recoveries8Dribbled past2DisciplineYellow cards1Red cards0
Kanya Fujimoto,Gil Vicente,"176 cmHeight10Shirt25 yearsJul 1, 1999LeftPreferred footJapanCountry€2.2MMarket value","PositionPrimaryAttacking MidfielderOthersCentral Midfielder, Right WingerCMRWAM",Touches39%Shot attempts13%Goals40%Chances created30%Aerial duels won27%Defensive actions29%,3Goals0Assists4Started4Matches319Minutes played7.44Rating1Yellow cards0Red cards,Season performanceMinutes played: 319TotalPer 90ShootingRankGoals3Expected goals (xG)1.35xG on target (xGOT)2.23Penalty goals1Non-penalty xG0.56Shots3Shots on target3PassingAssists0Expected assists (xA)0.41Successful passes81Pass accuracy80.2%Accurate long balls3Long ball accuracy60.0%Chances created5Successful crosses1Cross accuracy100.0%PossessionSuccessful dribbles3Dribble success75.0%Touches139Touches in opposition box12Dispossessed2Fouls won8DefendingTackles won1Tackles won %100.0%Duels won12Duels won %66.7%Interceptions4Fouls committed3Recoveries15Possession won final 3rd2Dribbled past1DisciplineYellow cards1Red cards0
Daniel Braganca,Sporting CP,"169 cmHeight23Shirt25 yearsMay 27, 1999LeftPreferred footPortugalCountry€5.1MMarket value",PositionPrimaryCentral MidfielderCM,Touches83%Shot attempts86%Goals88%Chances created57%Aerial duels won36%Defensive actions70%,1Goals1Assists2Started4Matches180Minutes played7.63Rating1Yellow cards0Red cards,Season performanceMinutes played: 180TotalPer 90ShootingRankGoals1Expected goals (xG)0.26xG on target (xGOT)0.24Non-penalty xG0.26Shots6Shots on target2PassingAssists1Expected assists (xA)0.34Successful passes99Pass accuracy91.7%Accurate long balls5Long ball accuracy83.3%Chances created5PossessionSuccessful dribbles1Dribble success100.0%Touches134Touches in opposition box3Dispossessed0Fouls won4DefendingTackles won3Tackles won %75.0%Duels won10Duels won %71.4%Aerial duels won1Aerial duels won %100.0%Interceptions1Blocked1Fouls committed3Recoveries9Possession won final 3rd2Dribbled past1DisciplineYellow cards1Red cards0
Francisco Moura,FC Porto,"181 cmHeight74Shirt25 yearsAug 16, 1999LeftPreferred footPortugalCountry€5.2MMarket value",PositionPrimaryLeft-backOthersLeft MidfielderLBLM,Touches45%Shot attempts20%Goals43%Chances created99%Aerial duels won42%Defensive actions33%,0Goals1Assists4Started4Matches360Minutes played7.33Rating0Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Expected goals (xG)0.06xG on target (xGOT)0.04Non-penalty xG0.06Shots1Shots on target1PassingAssists1Expected assists (xA)0.14Successful passes104Pass accuracy77.6%Accurate long balls10Long ball accuracy47.6%Chances created7Successful crosses3Cross accuracy23.1%PossessionSuccessful dribbles3Dribble success50.0%Touches229Touches in opposition box9Dispossessed0DefendingTackles won7Tackles won %70.0%Duels won14Duels won %45.2%Aerial duels won1Aerial duels won %12.5%Interceptions1Fouls committed6Recoveries11Dribbled past1DisciplineYellow cards0Red cards0
Tiago Silva,Vitoria de Guimaraes,"170 cmHeight10Shirt31 yearsJun 2, 1993RightPreferred footPortugalCountry€1.6MMarket value",PositionPrimaryCentral MidfielderCM,Touches76%Shot attempts59%Goals73%Chances created97%Aerial duels won12%Defensive actions21%,0Goals1Assists3Started3Matches223Minutes played7.44Rating2Yellow cards0Red cards,Season performanceMinutes played: 223TotalPer 90ShootingRankGoals0Expected goals (xG)0.07xG on target (xGOT)0.22Non-penalty xG0.07Shots1Shots on target1PassingAssists1Expected assists (xA)0.62Successful passes122Pass accuracy89.7%Accurate long balls20Long ball accuracy83.3%Chances created5Successful crosses7Cross accuracy36.8%PossessionSuccessful dribbles2Dribble success66.7%Touches180Dispossessed0Fouls won2DefendingTackles won1Tackles won %33.3%Duels won9Duels won %56.2%Aerial duels won2Aerial duels won %66.7%Interceptions1Fouls committed5Recoveries12DisciplineYellow cards2Red cards0
Calegari,Famalicao,"171 cmHeight2Shirt22 yearsFeb 27, 2002RightPreferred footBrazilCountry€4.2MMarket value",PositionPrimaryRight-backRB,Touches84%Shot attempts5%Goals0%Chances created0%Aerial duels won42%Defensive actions95%,0Goals0Assists4Started4Matches322Minutes played7.24Rating0Yellow cards0Red cards,Season performanceMinutes played: 322TotalPer 90ShootingRankGoals0Expected goals (xG)0.07Non-penalty xG0.07Shots1PassingAssists0Expected assists (xA)0.03Successful passes113Pass accuracy81.9%Accurate long balls5Long ball accuracy45.5%Chances created1Successful crosses1Cross accuracy20.0%PossessionSuccessful dribbles2Dribble success40.0%Touches239Touches in opposition box2Dispossessed1Fouls won7DefendingTackles won8Tackles won %57.1%Duels won26Duels won %66.7%Aerial duels won3Aerial duels won %75.0%Interceptions2Blocked1Fouls committed5Recoveries14Possession won final 3rd1Dribbled past3DisciplineYellow cards0Red cards0
Goncalo Inacio,Sporting CP,"186 cmHeight25Shirt23 yearsAug 25, 2001LeftPreferred footPortugalCountry€44MMarket value",PositionPrimaryCenter-backCB,Touches100%Shot attempts82%Goals96%Chances created66%Aerial duels won35%Defensive actions9%,0Goals1Assists4Started4Matches360Minutes played7.51Rating1Yellow cards0Red cards,Season performanceMinutes played: 360TotalPer 90ShootingRankGoals0Expected goals (xG)0.29Non-penalty xG0.29Shots3PassingAssists1Expected assists (xA)0.10Successful passes303Pass accuracy89.6%Accurate long balls12Long ball accuracy63.2%Chances created2PossessionTouches375Touches in opposition box4Dispossessed2DefendingTackles won3Tackles won %50.0%Duels won15Duels won %53.6%Aerial duels won9Aerial duels won %69.2%Interceptions8Blocked3Fouls committed5Recoveries20Dribbled past2DisciplineYellow cards1Red cards0
John Mercado,AVS Futebol SAD,"185 cmHeight17Shirt22 yearsJun 3, 2002LeftPreferred footEcuadorCountry€45KMarket value",PositionPrimaryLeft WingerOthersRight WingerRWLW,Touches2%Shot attempts85%Goals81%Chances created51%Aerial duels won85%Defensive actions40%,1Goals1Assists4Started4Matches340Minutes played7.33Rating0Yellow cards0Red cards,Season performanceMinutes played: 340TotalPer 90ShootingRankGoals1Expected goals (xG)0.76xG on target (xGOT)1.11Non-penalty xG0.76Shots7Shots on target2PassingAssists1Expected assists (xA)0.50Successful passes35Pass accuracy67.3%Chances created7Successful crosses4Cross accuracy50.0%PossessionSuccessful dribbles7Dribble success50.0%Touches125Touches in opposition box15Dispossessed4Fouls won3DefendingTackles won4Tackles won %100.0%Duels won20Duels won %47.6%Aerial duels won6Aerial duels won %46.2%Interceptions2Blocked1Recoveries13Possession won final 3rd2Dribbled past4DisciplineYellow cards0Red cards0
